English,Urdu
part,حصہ
history,تاریخ
search,تلاش
only,صرف
police,پولیس
thought,سوچا
help,مدد
request,درخواست
kind,قسم
month,مہینہ
brother,بھائی
let,دو
because,کیونکہ
to put,رکھنا
no,نہیں
leash,پٹا
them,انہیں
city,شہر
each,ہر ایک
speak,بولیں
come,آو
should,چاہئے
baby,بچه
long time,طویل وقت
hours,گھنٹے
will,مرضی
while,جبکہ
meet again,ایک بار پھر ملیں
any,کوئی بھی
square,مربع
speak,بولیں
understood,سمجھا
knew,جانتا تھا
were,تھے
Warning,انتباہ
here is,یہاں ہے
could,کر سکتا ہے
case,معاملہ
give,دے
type,قسم
their,ان کا
given,دیئے گئے
train,ٹرین
body,جسم
place,جگہ
eyes,آنکھیں
way,طریقہ
listen,سنو
whose,کس کا
find,مل
first,پہلا
lost,کھو دیا
hand,ہاتھ
first,پہلا
side,طرف
power,طاقت
old,بوڑھا
be,بنے
here,یہاں
morning,صبح
so much,بہت کچھ
child,بچہ
point,نقطہ
came,آیا
after,کے بعد
sorry,معذرت
come,آو
in front of,کے سامنے
towards,کی طرف
minutes,منٹ
request,درخواست
bedroom,بیڈروم
placed,رکھا
beautiful,خوبصورت
law,قانون
would like to,پسند کریں گے
today,آج
husband,شوہر
cause,وجہ
finally,آخر میں
hope,امید ہے
water,پانی
Wait,انتظار کرو
left,بائیں
new,نئی
job,نوکری
Stop,بند کرو
would say,کہوں گا
Earth,زمین
account,کھاتہ
given,دیئے گئے
far,دور
end,آخر
believe,یقین
sweetheart,پیاری
large,بڑا
rather,بلکہ
will have,پڑے گا
girls,لڑکیاں
to play,کھیلنا
office,دفتر